Period,Title,Company,Category,Location,Description,Skills
January 2024 - Present,"Field Service Engineer","Instron",Industrial,"Nordic Region • Ireland • Poland","Installation and commissioning of testing systems across Nordic Region and Europe. Perform comprehensive IQOQ processes and develop testing methods using Bluehill software. Specialize in load cell calibration and provide client training for equipment optimization.","Testing Systems Installation, IQOQ & Calibration, Bluehill Software, Technical Training, Data Analysis"
Jul 2023 - Dec 2023,"Automation Engineer","AH Automation",Automation,"Sweden","Developed expertise in Siemens TIA Portal and automation systems. Implemented conveyor belt systems with touchscreen Human-Machine Interface (HMI) interfaces. Engaged in continuous professional development and maintenance of electric motors in conveyor systems.","PLC Programming, HMI Development, System Integration, Technical Documentation, Automation Design"
Sep 2020 - Jul 2023,"Commissioning Engineer","Siemens Energy",Industrial,"Worldwide","When I worked as a Commissioning Engineer at Siemens Energy, I specialized in on-site commissioning of gas turbines globally. I managed the assembly, installation, and testing of turbines, ensuring compliance with safety and quality standards. My technical problem-solving abilities and adaptability were pivotal in overcoming obstacles and achieving project success.","Gas Turbine Systems, Project Management, International Operations, Technical Leadership, System Integration, Safety Compliance"
Dec 2019 - Sep 2020,"Inspection Engineer","DEKRA Industrial",Industrial,"Sweden","In my capacity as an Inspection Engineer at DEKRA Industrial, I was responsible for conducting comprehensive inspections of industrial equipment to ensure compliance with safety standards. Utilizing a diverse range of testing methodologies, I diligently identified potential vulnerabilities and meticulously documented my findings in comprehensive reports.","Quality Control, Safety Compliance, Technical Documentation, Industrial Inspections, Equipment Assessment, Regulatory Standards"
Sep 2018 - Dec 2019,"3rd Engineer","Stena RoRo",Maritime,"Worldwide","As a Third Engineer at Stena RoRo in Nynäshamn, I oversaw engine room operations on the Stena Flavia and Mont Ventoux vessels in the Baltic Sea and Mediterranean. Collaborating effectively with cross-functional teams, I optimized engine performance, conducted routine maintenance, and adhered strictly to safety regulations.","Engine Operations, Maintenance Planning, System Repairs, Equipment Overhaul, Safety Protocols, Technical Documentation"
Apr 2018 - Sep 2018,"Regional Technical Engineer","Trafikverket",Maritime,"Lake Vättern","Oversaw the engine department at Trafikverket, ensuring compliance with safety protocols and adhering to project timelines. Led a team in enhancing performance and promoting continuous learning, contributing to the advancement of technical expertise.","Technical Operations, Team Leadership, Maintenance Planning, Safety Compliance, System Optimization, Equipment Repairs"
Jan 2018 - Apr 2018,"Technical Manager","Persson Innovation AB",Industrial,"Kumla, Örebro län, Sweden","As a Technical Manager at Persson Innovation AB, I led the successful installation and commissioning of cardboard handle application machines in Tennessee and North Carolina. I managed the shipping process of machines built in the factory in Sweden to cardboard factories in the US.","Project Management, Automation Systems, Team Supervision, Process Optimization, Technical Planning, Quality Control"
Sep 2015 - Jan 2018,"Field Service Engineer","Instron",Industrial,"Nordic Region • Ireland • Poland","Installation and commissioning of testing systems across Nordic Region and Europe. Perform comprehensive IQOQ processes and develop testing methods using Bluehill software. Specialize in load cell calibration and provide client training for equipment optimization.","System Installation, Equipment Calibration, Software Configuration, Client Training, Technical Support, Quality Assurance"
Apr 2015 - Sep 2015,"Engine Fitter","Örebro Kommun",Industrial,"Örebro, Sweden","Conducted engine fitting, workshop repairs, and faultfinding at Örebro kommun. Managed sewage waste, performed preventive maintenance, and oversaw workshop responsibilities. Utilized skills in welding, lathe machine operation, plastering, pump overhauls, and pipe repairs.","Equipment Repair, System Maintenance, Technical Operations, Safety Compliance, Documentation, Quality Control"
Nov 2014 - Apr 2015,"3rd Engineer","Stena Baltic A/S",Maritime,"Worldwide","In my role as a 3rd Engineer at Stena Baltic A/S (M/V Ask), I was responsible for engine watchkeeping, maintenance of key engine components, and ensuring safe operations onboard. I also took charge of bunkering operations, oil record logging, and electrical installations.","Engine Operations, System Maintenance, Equipment Overhaul, Safety Protocols, Technical Documentation, Quality Standards"
May 2014 - Oct 2014,"3rd Engineer","Destination Gotland",Maritime,"Baltic Sea","Engage in watchkeeping, perform engineer duties, bunker, overhaul diesel engines, perform watchkeeping, purifiers and clarifiers, and bilgewater separator overhauling and operations. Ensure safe engine operations.","Engine Operations, System Maintenance, Equipment Repair, Safety Compliance, Technical Documentation, Quality Control"
Jan 2014 - Apr 2014,"Engineer/Motorman","Trafikverket",Maritime,"Lake Hjälmaren","As an Engineer/Motorman at Trafikverket, I played a crucial role in ensuring the smooth operation of our fleet. I diligently performed engine watchkeeping duties and effectively utilized the AMOS system for maintenance activities.","Engine Operations, System Maintenance, Equipment Repair, Safety Standards, Technical Documentation, Quality Assurance"
Nov 2013 - Dec 2013,"3rd Engineer","Finnlines",Maritime,"Europe","Duties include engaging watchkeeping, performing engineer duties, bunkering, overhauling diesel engines, watchkeeping, purifiers and clarifiers, and bilgewater separator overhauling and operations.","Engine Operations, System Maintenance, Equipment Repair, Safety Protocols, Technical Documentation, Quality Standards"
Aug 2013,"3rd Engineer","Teekay",Maritime,"North Sea","As a third engineer on the Stena Sirita, duties included dayman duty, monitoring auxiliary engines, performing engine watch duties, loading and unloading cargo, maintaining VOC levels, and emergency generator operations.","Dynamic Positioning, Engine Operations, System Maintenance, Safety Compliance, Technical Documentation, Emergency Systems"
Mar 2013 - Jul 2013,"3rd Engineer","Noble Caledonia",Maritime,"Worldwide","On the Caledonian Sky, we embarked across Southeast Asia, Australia, Russian Far East, and American West Coast. Duties included engine watchkeeping, bunkering, overhauling purifiers and filters, maintaining sewage systems, and engine room operations.","Engine Operations, System Maintenance, Equipment Repair, Safety Standards, Technical Documentation, Quality Control"
Dec 2012 - Feb 2013,"3rd Engineer","Finnlines",Maritime,"Europe","Performed engine watchkeeping, bunkering, and maintenance duties on RoRo vessel Finnpulp. Provided emergency cover and participated in major engine overhauls.","Engine Operations, System Maintenance, Equipment Overhaul, Safety Protocols, Technical Documentation, Quality Standards"
Oct 2012 - Dec 2012,"3rd Engineer","Sirius Ship Management",Maritime,"Europe","Completed a short-term contract with Sirius, serving as 3rd Engineer aboard a chemical tanker. Joined the vessel at a shipyard in Denmark for a contract.","Engine Operations, Cargo Systems, Equipment Maintenance, Safety Standards, Technical Documentation, Quality Control"
Jul 2012 - Oct 2012,"3rd Engineer","Finnlines",Maritime,"Europe","Following a period of fleet reflagging at Finnlines, I decided to seek new opportunities within the maritime industry to further expand my experience and skillset.","Engine Operations, System Maintenance, Equipment Repair, Safety Protocols, Technical Documentation, Quality Standards"
Jul 2012,"3rd Engineer","Terntank Rederi AS",Maritime,"Europe","Provided emergency cover for an ill engineer aboard the tanker Ternhav. Successfully managed all engine room operations, including machinery maintenance, repairs, and system monitoring.","Engine Operations, Cargo Systems, Equipment Maintenance, Safety Standards, Technical Documentation, Quality Control"
Mar 2012 - Jul 2012,"3rd Engineer","Finnlines",Maritime,"Europe","Responsible for ship's startup procedures, departures, and arrivals. Oversaw bunkering operations and trained Engineer Cadets. Vessel sailed between Malmö, Travemunde, and other Baltic Sea ports.","Engine Operations, System Maintenance, Equipment Repair, Safety Protocols, Technical Documentation, Quality Standards"
Sep 2011 - Mar 2012,"Engineer","Royal Swedish Navy",Military,"Swedish Coast","My first job after university was as a military engineer. I worked in the engine room, overseeing operations, maintenance, and repairs. I also had the responsibility of steering the ship during night shifts and participating in military exercises.","Military Operations, Engine Systems, Equipment Maintenance, Safety Protocols, Technical Documentation, Emergency Response"
2007 - 2011,"Marine Engineering Programme","Linnaeus University",Student,"Kalmar, Sweden","Completed Marine Engineering Programme including 10 months of seagoing service on various vessels and different trade routes. Practical training included 10 weeks of Electrical Workshop Training (commissioning a generator plant with control system PLC and alarm systems) and 10 weeks of Mechanical workshop training (including welding, engine overhaul, and other mechanical skills).","Marine Engineering, Seagoing Service, Electrical Systems, PLC Programming, Mechanical Workshop, Welding, Engine Overhaul"
